x,y,z
1,1901,3373.2
1,1902,3520.7
1,1903,2957.4
1,1904,3079.6
1,1905,2566.7
1,1906,2534.4
1,1907,3347.9
1,1908,3576.4
1,1910,2899.4
1,1911,2687.2
1,1912,2960.5
1,1913,2365.8
1,1914,2957.8
1,1915,2741.3
1,1916,2937.5
1,1917,2612.4
1,1918,3275
1,1919,2352.1
1,1920,2943.2
1,1921,2606.4
1,1922,3554.2
1,1923,3079.595503
1,1924,2349.634858
1,1925,2480.5
1,1926,3282.2
1,1927,2442.9
1,1928,2998.3
1,1929,2926.6
1,1930,3075.1
1,1931,2357.7
1,1932,1771.225759
1,1933,2987.5
1,1934,3722.8
1,1935,3154
1,1936,3081.781712
1,1937,3591.1
1,1938,3264.4
1,1939,2782.5
1,1940,3007.5
1,1941,2898.2
1,1942,1420.649485
1,1946,2791.6
1,1947,3092.111863
1,1949,3489.6
1,1950,2422.2
1,1951,3275.1
1,1952,3079.9
1,1953,2722
1,1954,3449
1,1955,3349.6
1,1956,3079.9
1,1957,2507.2
1,1958,2807.4
1,1959,3343.4
1,1960,3025.1
1,1961,3938.2
1,1962,2959.7
1,1963,2981.7
1,1964,3054.8
1,1965,3163.9
1,1966,2701.2
1,1967,3216.6
1,1968,2762.8
1,1969,2619.2
1,1970,3370.9
1,1971,2998.7
1,1972,3323.1
1,1973,2991
1,1974,2962.1
1,1975,3085.6
1,1976,3276
1,1977,2388.2
1,1978,2712.4
1,1979,1849.3
1,1980,3625.3
1,1981,3074.7
1,1982,2384.5
1,1983,2792.5
1,1984,2820.3
1,1985,2630.8
1,1986,2187.9
1,1987,2763.9
1,1988,3323.1
1,1989,2533.7
1,1990,2183.2
1,1991,2535.6
1,1992,2098.6
1,1993,2237.4
1,1994,3263.1
1,1995,3115.5
1,1996,2996.9
1,1997,2755.1
1,1998,2846.4
1,1999,2699.7
1,2000,2763.1
1,2001,3080.8
1,2002,2620.1
1,2003,2355.7
1,2004,2460
1,2005,2954.5
1,2006,2404.7
1,2007,2748.2
1,2008,3374.9
1,2009,2538.6
1,2010,3157.1
1,2011,3828
1,2012,3497.6
1,2013,3757.7
1,2014,2622.5
1,2015,2904.5
1,2016,2851.9
1,2017,2890
2,1916,3519.004035
2,1917,3626.395503
2,1918,5486.3
2,1919,4693.9
2,1920,4106.7
2,1921,5691.4
2,1922,4187.2
2,1923,3507.5
2,1924,4450.5
2,1925,4439.8
2,1926,3521.6
2,1927,5253.2
2,1928,5272.7
2,1929,4320.1
2,1930,4334.3
2,1931,4872.1
2,1932,4850.9
2,1933,3773.4
2,1934,4575.6
2,1935,4173.5
2,1936,4788.7
2,1937,3375.1
2,1938,6129.1
2,1939,3898.6
2,1940,4099.5
2,1941,4220.2
